Unique ID,broadperiod,period,thickness,diameter,weight,axis,Primary material,axis_known,Manufacture method,Primary Material_n,URL,Manufacture Method_n,Image URL,Saved Image,length,height,width,obverseDescription,reverseDescription,obverseLegend,reverseLegend,reverseType,regionName,cultureName,inscription,objectCertainty,rulerName,mintName,denominationName,tribeName,categoryTerm,moneyerName
LEIC-0434D6,MEDIEVAL,4,0.25,15.0,0.64,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/274967,8,https://finds.org.uk/images/wscott/medium/0434D6 .JPG,LEIC-0434D6.png,,,,facing crowned bust,long cross with joined pellets and central quatrefoil,EDW,CIVITAS[EBORACI],,East Midlands,,,Certain,Edward IV of England (first reign),,Halfpenny,,English coin Late Medieval 1377 - 1489,
WAW-DC5BDB,MEDIEVAL,4,,15.8,0.56,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/950190,8,https://finds.org.uk/images/kaleahy/medium/Birm799.jpg,WAW-DC5BDB.jpg,,,,,Long cross,,,,,,,,Edward I - III,,Halfpenny,,English coin Edwardian type 1279 - 1377,
IOW-095911,MEDIEVAL,4,,14.3,0.45,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/253812,8,https://finds.org.uk/images/fbasford/medium/IOW2009-1-270.JPG,IOW-095911.png,,,,Crowned bust facing with a bifoliate crown (pellets by shoulders),Long cross dividing the inscription with three pellets in each quadrant (quatrefoil at centre),Missing,Missing/illegible,,South East,,,Certain,Richard II of England,York,Penny,,English coin Late Medieval 1377 - 1489,
NLM-D74164,MEDIEVAL,4,,16.8,0.36,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/123559,8,https://finds.org.uk/images/lstaves/medium/NLM10110.jpg,NLM-D74164.jpg,,,,[Crowned bust with sceptre],Voided long cross with three pellets in each quarter,[HENRICVS REX III],illegible,,Yorkshire and the Humber,,,Certain,Henry III of England,,Cut halfpenny,,English coin short and long cross period 1180 - 1278,
NLM-D87812,MEDIEVAL,4,,13.2,0.36,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/123567,8,https://finds.org.uk/images/lstaves/medium/NLM10123.jpg,NLM-D87812.jpg,,,,illegible,Voided short cross with stars in the angles,illegible,illegible,,North East,,,Certain,,,Farthing,,,
LEIC-E88023,MEDIEVAL,4,1.0,10.0,0.44,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/192161,8,https://finds.org.uk/images/wscott/medium/E88023.JPG,LEIC-E88023.png,,,,Facing 'chubby' crowned bust,long cross and three pellets,not readable,CIVITAS[LONDO]N,,East Midlands,,,Certain,Edward I of England,London,Farthing,,English coin Edwardian type 1279 - 1377,
WAW-8520A1,MEDIEVAL,4,,,0.45,11.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/68044,8,https://finds.org.uk/images/abolton/medium/WAW-8520A1.jpg,WAW-8520A1.jpg,,,,Bust facing forward. Cross is type V.,Long cross with three pellets in each quarter.,+ HENRIC' REX saltire ANGL',CIVI / TAS / LON / DON,,West Midlands,,,Certain,Henry VI of England (first reign),London,Halfpenny,,English coin Late Medieval 1377 - 1489,
PUBLIC-2C6366,MEDIEVAL,4,0.75,22.6,1.5,-1.0,Base Silver,0,Struck or hammered,0,https://finds.org.uk/database/artefacts/record/id/864184,0,https://finds.org.uk/images/ucljo/medium/PUBLIC2C6366c.jpg,PUBLIC-2C6366.jpg,,,,"Castle, three towered within six arched double tressure, pellet on arches of tressure, mintmark below the castle possibly a 'B'",Lion rampant within six arched double tressure,[+EN]RICVS[:DEI:GRACIA:REX],+EN[RICVS:DEI:GRACIA ]REX,,South East,,,Certain,Enrique III of Castille &amp; Leon,,,,,
FAJN-19E425,MEDIEVAL,4,,17.18,1.4,11.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/576200,8,https://finds.org.uk/images/abolton/medium/FAJN-19E425.jpg,FAJN-19E425.jpg,,,,Front-facing crowned bust,Long cross pattee with three pellets in each angle,EDWAR ANGL DNS hYB,CIVI/TAS/LON/DON,,West Midlands,,,Certain,Edward I of England,London,Penny,,English coin Edwardian type 1279 - 1377,
BUC-BA79EE,MEDIEVAL,4,,18.48,1.34,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/701673,8,https://finds.org.uk/images/dunvant/medium/4DSCN9629.JPG,BUC-BA79EE.png,,,,Front-facing crown bust with bifoliate crown.,Long cross dividing the inscription with groups of three pellets in each angle.,EDWAR ANGL DNS hYB (unbarred A; top-tilted S),VILL'/SCI/EDM/VNDI,,South East,,,Certain,Edward II of England,Bury St. Edmunds,Penny,,English coin Edwardian type 1279 - 1377,
