URL,Unique ID,Primary material,Manufacture method,Image URL,Saved Image
https://finds.org.uk/database/artefacts/record/id/994993,BH-638D06,Silver,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH638D06.jpg,Fotos_monedas\BH-638D06.jpg
https://finds.org.uk/database/artefacts/record/id/994706,BH-4EEEC1,Copper alloy,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH4EEEC1.jpg,Fotos_monedas\BH-4EEEC1.jpg
https://finds.org.uk/database/artefacts/record/id/994180,PUBLIC-E97499,Copper alloy,Struck or hammered,https://finds.org.uk/images/strebor/medium/PUBLICE97499RomannummusConstantineIIAD31740BEATATRANQVILLITAS.jpg,Fotos_monedas\PUBLIC-E97499.jpg
https://finds.org.uk/database/artefacts/record/id/987795,PUBLIC-C94E4B,Copper alloy,Struck or hammered,https://finds.org.uk/images/strebor/medium/PUBLICC94E4BRomanradiateGallienvsAPOLLINICONSAVGGriffinleft.jpg,Fotos_monedas\PUBLIC-C94E4B.jpg
https://finds.org.uk/database/artefacts/record/id/983783,BH-7A498C,Copper alloy,Struck or hammered,https://finds.org.uk/images/sashamarie/medium/BH7A98C.jpg,Fotos_monedas\BH-7A498C.jpg
https://finds.org.uk/database/artefacts/record/id/983768,BH-79CB28,Silver,Struck or hammered,https://finds.org.uk/images/sashamarie/medium/BH79CB28.jpg,Fotos_monedas\BH-79CB28.jpg
https://finds.org.uk/database/artefacts/record/id/977249,PUBLIC-726821,Copper alloy,,https://finds.org.uk/images/strebor/medium/PUBLIC726821MarcusAureliusRomaseatedleftonrocksAD17172.jpg,Fotos_monedas\PUBLIC-726821.jpg
https://finds.org.uk/database/artefacts/record/id/977205,PUBLIC-710CE9,Copper alloy,Struck or hammered,https://finds.org.uk/images/strebor/medium/PUBLIC710CE9RomanbronzeSalonina2608AD.jpg,Fotos_monedas\PUBLIC-710CE9.jpg
https://finds.org.uk/database/artefacts/record/id/973596,BH-481D65,Silver,Struck or hammered,https://finds.org.uk/images/mfittock/medium/BH481D65.jpg,Fotos_monedas\BH-481D65.jpg
https://finds.org.uk/database/artefacts/record/id/970203,BH-8B7285,Copper alloy,Cast,https://finds.org.uk/images/mfittock/medium/BH8B7285.jpg,Fotos_monedas\BH-8B7285.jpg
