id,uri,old_findID,secuid,objecttype,objectCertainty,classification,subClassification,length,height,width,thickness,diameter,weight,quantity,otherRef,smrRef,musaccno,TID,broadperiod,fromdate,todate,periodFromName,subperiodFrom,periodToName,subperiodTo,cultureName,description,note,reasonTerm,notes,inscription,workflow,rulerName,mintName,denominationName,tribeName,reeceID,categoryTerm,typeTerm,geography,axis,moneyerName,obverseDescription,reverseDescription,obverseLegend,reverseLegend,mintmark,cciNumber,reverseType,datefound1,datefound2,regionName,county,district,parish,knownas,gridref,fourFigure,easting,northing,latitude,longitude,gridSource,subsequentActionTerm,currentLocation,thumbnail,imagedir,filename,finder,discoveryMethod,creator,institution,created,updated
1004673,https://finds.org.uk/database/artefacts/record/id/1004673,SUR-8FB1AA,PAS5ED8FB1A001AF6,COIN,,,,,,,,22,0.9,1,,,,,"EARLY MEDIEVAL",800,821,"EARLY MEDIEVAL",Middle,"EARLY MEDIEVAL",Middle,,"An incomplete&nbsp;silver early-medieval penny of Coenwulf of Mercia (AD 796-821), portrait type (c.&nbsp;800-821; Naismith E13.1; North 369), moneyer: Wodel, mint: East Anglia (Ipswich?). Ref: Naismith 2011; Naismith 2016: pl. 9, nos 206-7; North 1994: 95.&nbsp;&nbsp;Obverse: diademed bust, right, COENVVLF REX [...].Reverse: cross with a large annulet centre and annulet at the end of each limb, ?OdE[...]X .&nbsp;",1,,"This is only the second example of the this coin type recorded by the PAS, the other being HAMP-BD4675.This coin also recorded at&nbsp;EMC 2018.0042.Recorded from details emailed by the finder.",,3,"Coenwulf of Mercia","East Anglia",Penny,,,"Coin of the kings of Mercia 8th-9th centuries","N 369 (Cn. 111)",,7,,"Diademed bust, right.","Cross with a large annulet centre and at the end of each limb.","COENVVLF REX [...]",?OdE[...]X,,,,2018-01-01T00:00:00Z,,,Hampshire,"Basingstoke and Deane","Restricted access",,,"Restricted access",,,,,,"Returned to finder",,1106150,images/smaslin/,SUR8FB1AA.jpg,"Restricted info","Metal detector","Simon Maslin",SUR,2020-06-04T14:46:02Z,2020-06-04T16:03:40Z
1004671,https://finds.org.uk/database/artefacts/record/id/1004671,SUR-8F6CBC,PAS5ED8F6CB001D13,COIN,,,,,,,,22.5,0.9,1,,,,,"EARLY MEDIEVAL",784,793,"EARLY MEDIEVAL",Middle,"EARLY MEDIEVAL",Middle,,"A early-medieval silver penny of Offa of Mercia (AD 757-796), Light coinage (new type), moneyer: Lul, mint: East Anglia (Ipswich?) dating to c AD 784-792/3; obv. cf. North 281/1 and Chick 173. Ref: Chick 2010, pl. 22 nos 173a-b; North 1994: 85.&nbsp;Obverse: OFFA REX around a lozenge with incurved sides containing a cross surrounded by pellets. Reverse: cross of four&nbsp;squares running spirals outer boxes contain rosettes with pellets centre, central box contains 5 pellets, with +LUL (runic) between the arms.&nbsp;",1,,"This coin appears to be a new type belonging to Offa of Mercia&#39;s East Anglian coinage. The obverse of a lozenge with incurving sides and Offa&#39;s name outside belongs with coins of Chick 173 but the reverse is a previously unrecognised type, the use of runic letters for the moneyer, Lul, seen on Chick 171-3. No coins with a similar reverse are listed in Chick 2010, Naismith 2010 or Naismith and Naylor 2012.This coin is&nbsp;EMC 2017.0394.Recorded from details emailed by the finder.",,3,"Offa of Mercia","East Anglia",Penny,,,"Coin of the kings of Mercia 8th-9th centuries","Offa, Blunt group I (Light coinage, no further details)",,3,,"Lozenge with incurved sides containing a cross surrounded by pellets.","Cross of fours square running spirals containing pellets.","OFFA REX","+/L/U/L (letters runic)",,,,2017-01-01T00:00:00Z,,,Hampshire,"Basingstoke and Deane","Restricted access",,,"Restricted access",,,,,,"Returned to finder",,1106149,images/smaslin/,SUR8F6CBC.jpg,"Restricted info","Metal detector","Simon Maslin",SUR,2020-06-04T14:27:39Z,2020-06-04T16:02:44Z
1004635,https://finds.org.uk/database/artefacts/record/id/1004635,DUR-7C5F48,PAS5ED7C5F4001809,COIN,,,,,,,,14.53,1,1,R523,,,,"EARLY MEDIEVAL",789,796,"EARLY MEDIEVAL",Middle,"EARLY MEDIEVAL",Middle,,"An early-medieval silver styca&nbsp;(penny) of Aethelred I (second reign; AD789-796), mint: Northumbria (probably York),&nbsp;moneyer: Cudheard&nbsp;(Cuthheard).&nbsp;North 185/1. Ref: North 1994: 71.obverse: Cross &#39;+AEDILRED&nbsp;R&#39;reverse: Cross &#39;+CVDHEARD&#39;Weight:&nbsp;1&nbsp;gDiameter:&nbsp;14.53&nbsp;mm",1,,"The design of this coin with the name of the king on one side and moneyer on the other, both around a central cross (or other motif) marked a major change in coin design from the early &#39;fantastic animal&#39; types of Eadberht (737-58) onwards, themselves based on the coinage of Aldfrith (685-704). The new design - the coin type is often referred to as a &#39;styca&#39; after a misreading of documentary evidence (see Naismith 2017: 367 for discussion) - lasted until (or even after) the Viking take-over of York in 867, although by the end of Eanred&#39;s (810-41) reign they were so debased as to be made from copper-alloy with no silver content.Finds of this Aethelred I&#39;s &#39;stycas&#39; are rare and a clustered west of the Penines between the North Yorkshire moors and the Humber.",,3,"Aethelred I (2nd reign) of Northumbria",Northumbria,Styca,,,"Styca of Northumbria and York","N 185.1 (Series Y)",,9,,"central cross","central cross","+AEDILRED R",CVDHEARD,,,,2020-01-11T00:00:00Z,2020-01-11T00:00:00Z,,"East Riding of Yorkshire","East Riding of Yorkshire","Restricted access","Bridlington west",,"Restricted access",,,,,,"Returned to finder",,1106226,images/benwestwood/,DUR7C5F48.jpg,"Restricted info","Metal detector","benjamin westwood",DUR,2020-06-03T16:47:00Z,2020-06-08T13:00:57Z
1003706,https://finds.org.uk/database/artefacts/record/id/1003706,KENT-4FF534,PAS5EC4FF5300144E,COIN,,,,,,9.5,,18.73,0.8,1,,,,,"EARLY MEDIEVAL",1052,1053,"EARLY MEDIEVAL",Late,"EARLY MEDIEVAL",Late,,"A cut halfpenny of Edward the Confessor (1042-1066), &#39;Expanding Cross&#39; type (North 823; BMC&nbsp;v), heavy coinage dating c.1052-53 (redated early-mid 1050s), moneyer: Godwine (probably), Mint: London. Ref:&nbsp;North 1994: 180; Naismith 2017: 272-4..Measurements: length&nbsp;18.73mm (original diameter),&nbsp;9.5mm wide and&nbsp;Weight&nbsp;0.8g.",,,"The surviving reverse inscription [ ]N LVNDENL&#39; or (possibly) LVNDENE if the L&#39; is a die error&nbsp;(it is listed for other examples LVNDENI, e.g.&nbsp;EMC&nbsp;1994.0226 and&nbsp;1018.1078). These other examples are both struck by&nbsp;the moneyer Godwine.This find was recorded by images and information provided by the finder, not seen by the&nbsp;FLO.",,3,"Edward the Confessor",London,"Cut halfpenny",,,"Coin of the kings of All England 924/5-1066","N 823 (Expanding cross, heavy)",,5,,"Diademed bust left with sceptre in front","Short cross voided with expanding limbs joined at the base by two circles","+EDPE/[RD REX]","[+GODPINE O]N LVNDEN L'",,,,2020-03-19T00:00:00Z,,,Kent,Shepway,"Restricted access",,,"Restricted access",,,,,,"Returned to finder",,1104679,images/ucljo/,KENT4FF534.jpg,"Restricted info","Metal detector","Walter (Jo) Ahmet",KENT,2020-05-20T10:58:43Z,2020-06-18T16:48:02Z
1001940,https://finds.org.uk/database/artefacts/record/id/1001940,IOW-69F13D,PAS5EA69F13001D7E,COIN,,,,,,,,11.9,0.87,1,IOW2020-3-19,,,,"EARLY MEDIEVAL",720,740,"EARLY MEDIEVAL",Middle,"EARLY MEDIEVAL",Middle,Anglo-Saxon,"A complete Early-Medieval (Anglo-Saxon) silver Secondary Phase early penny/sceat of Series O/&#39;Rampant animal&#39; type (BMC Type 57) dating c.AD720-40. Ref:&nbsp;Gannon 2013: 127, no. 599Obverse: Snub-nosed bust right, long straight hair, within a serpent torc. Cabled border.Reverse: Monster in flight left, looking back with gaping jaws, clawed foot below.Diameter: 11.9mm. Weight: 0.87g. DA=12:3.See also Abramson 2006: 22 &amp; 38. .",1,,"This rare type is known from very few finds and this is the first example to be recorded by the PAS. It was probably struck in south-east England.&nbsp;",,3,"Anonymous (early penny/sceatta)",,Sceat,,,"Early Anglo-Saxon silver coin (sceatta)","Series O (Type 57)",,3,,"Snub-nosed bust right, long straight hair, within a serpent torc. Cabled border","Monster in flight left, looking back with gaping jaws, clawed foot below",,,,,,2020-03-31T00:00:00Z,2020-03-31T00:00:00Z,,"Isle of Wight","Isle of Wight","Restricted access","Isle of Wight",,"Restricted access",,,,,,"Returned to finder",Finder,1101587,images/fbasford/,IOW2020319a.jpg,"Restricted info","Metal detector","Frank Basford",IOW,2020-04-27T10:00:03Z,2020-04-27T16:35:13Z
1000545,https://finds.org.uk/database/artefacts/record/id/1000545,KENT-E4979A,PAS5E8E4979001A5D,COIN,,,,,,,,13,1.3,1,,,,,"EARLY MEDIEVAL",560,580,"EARLY MEDIEVAL",Early,"EARLY MEDIEVAL",Early,,"An early-medieval gold &#39;pseudo-Imperial&#39; tremissis&nbsp;struck by the Merovingian Franks in the Lower Rhineland (MEC I.373; Belfort&nbsp;5385-6, 5408), probably dating to the 560-70s. The design&nbsp;copies issues&nbsp;of Justinian I (AD527-56) or Justin II (565-78) but with heavily blundered inscriptions. Ref: Grierson and Blackburn 1986: 113-5; pl.19 no 373; Belfort 1894: 116-7,123.&nbsp;Reverse prototype: VICTORIA AVGVSTORVM depicting Victory walking right looking left holding wreath and globe cruciger. Mintmark: - *//oOoObverse&nbsp;(approximation): VTS&Omega;NT - TRVSTRV; Degraded diademed and cuirassed bust in paludamentum right, diadem tie disconnected from diadem, star above head, Reverse (approximation): VAT8H&nbsp;T&Omega;NSTRV. Victory walking right looking wreath and globe cruciger. -*//oOoMeasurements:&nbsp;13mm in diameter, 1.3g in weight.",1,,,,3,,,,,,,,,,,"Right-facing diademed bust.","Facing Victory holding globe cruciger, star in front between arm and foot.","(approximation, blundered): VTS?NT - TRVSTRV? ?","(approximation, blundered):VAT8H?T?NSTRV",,,,,,,Kent,Shepway,"Restricted access",,,"Restricted access",,,,,,"Returned to finder",,1099698,images/ucljo/,KENTE4979A.jpg,"Restricted info","Metal detector","Walter (Jo) Ahmet",KENT,2020-04-08T23:00:25Z,2020-06-12T15:25:51Z
999114,https://finds.org.uk/database/artefacts/record/id/999114,OXON-B762F7,PAS5E7B762F00176E,COIN,,,,,,,1.3,13.8,1.02,1,"OMS receipt 2334",,,,"EARLY MEDIEVAL",1048,1050,"EARLY MEDIEVAL",Late,"EARLY MEDIEVAL",Late,,"An Early Medieval silver penny of Edward the Confessor (AD 1042-66) dating from AD 1048-1050. Small flan type (North 818), moneyer: Beorhtweald (spelt as &#39;Brihtwold&#39; in North 1994: 185), mint: Oxford. Ref: North 1994: 179,185.&nbsp;&nbsp;",1,,"This is the first coin of its type recorded by the PAS from the Oxford mint.&#39;&nbsp;",,3,"Edward the Confessor",Oxford,Penny,,,"Coin of the kings of All England 924/5-1066","N 818 (Small Flan) (Hild. B)",,6,,"Diademed bust right","Voided short cross","+EDPE/RD RE","BRIHTPI ON OXA",,,,2019-09-01T00:00:00Z,2020-03-13T00:00:00Z,,Oxfordshire,"South Oxfordshire","Restricted access",,,"Restricted access",,,,,,"Returned to finder",,1097700,images/edwardcaswelloxon/,OXONB762F7.jpg,"Restricted info","Metal detector","Edward Caswell",OXON,2020-03-25T15:18:07Z,2020-03-25T17:43:11Z
999098,https://finds.org.uk/database/artefacts/record/id/999098,OXON-B49585,PAS5E7B49580014DA,COIN,,,,,,,0.9,21.2,1.35,1,"OMS receipt 2331",,,,"EARLY MEDIEVAL",890,923,"EARLY MEDIEVAL",Late,"EARLY MEDIEVAL",Late,,"A damaged and incomplete Early Medieval silver penny of Plegmund, Archbishop of Canterbury (AD 890-923), Two-Line/Horizontal type, Class I&nbsp;(c. AD890-95; North 254/BMC 63),&nbsp;moneyer:&nbsp;Hunferth, mint:&nbsp;Canterbury. Ref: North 1994: 80.&nbsp;The coin has a small chip at 2 o&#39;clock on the obverse. It&nbsp;then has more severe chips along its circumference between 6 and 10 o&#39;clock with a small irregular hole just below the centre at 6 o&#39;clock. The coin is also bent into a shallow V-shape being bent between 10 and 5 o&#39;clock as seen from the reverse.",1,,"This is only the third penny of Archbishop Plegmund recorded by the PAS. The others can be found at KENT-94F984 and LANCUM-2C14A4. It is the first PAS have recorded from Oxfordshire.",,3,"Archbishop Plegmund of Canterbury",Canterbury,Penny,,,"Penny of the Archbishops of Canterbury 8th-9th century","N 254 (Abp Plegmund, Class I, DORO)",,2,,"DO/RO at centre","Inscription in two lines divided by three cross patt?e and dot above.","+PLEGMVND ARCHIEP","HVNFR/E? MO (lozenge-shaped O)",,,,2019-09-01T00:00:00Z,2020-03-13T00:00:00Z,,Oxfordshire,"Vale of White Horse","Restricted access",,,"Restricted access",,,,,,"Returned to finder",,1097987,images/edwardcaswelloxon/,OXONB49585_New.jpg,"Restricted info","Metal detector","Edward Caswell",OXON,2020-03-25T12:06:48Z,2020-03-25T15:08:00Z
996788,https://finds.org.uk/database/artefacts/record/id/996788,SUR-60AC35,PAS5E660AC300151F,COIN,,,,17.2,,12.4,0.7,,0.61,1,,,,,"EARLY MEDIEVAL",828,839,"EARLY MEDIEVAL",Middle,"EARLY MEDIEVAL",Middle,,"A fragment of an&nbsp;early-medieval silver penny of Ecgberht of Wessex (802-839), non portrait type dating to c828-839, moneyer: Ifa, mint: Wessex (probably Winchester or Southampton); North 590; Naismith W8.2. Ref: North 1994: 119; Naismith 2017: pl. 42 no 1175.&nbsp;&nbsp;Obverse: [S]AX/[O]NIO/[RV]M in three lines. Reverse: cross patte&eacute;.",1,,,,3,"Ecgberht of Wessex","West Saxon mint",Penny,,,"Coin of the kings of Wessex 9th-10th centuries","N 590 (Ecgberht, West Saxon Mint)",,,,"[S]AX/[O]NIO/[RV]M in three lines.","Cross patte?.",+ECG[...]EX,[...IF]+AM+O[...],,,,2018-10-07T00:00:00Z,,,"Milton Keynes","Milton Keynes","Restricted access",,,"Restricted access",,,,,,"Finder applying for an export licence",,1095893,images/smaslin/,SUR60AC35.jpg,"Restricted info","Metal detector","Simon Maslin",SUR,2020-03-09T09:22:11Z,2020-03-09T17:22:58Z
995611,https://finds.org.uk/database/artefacts/record/id/995611,PUBLIC-BF2273,PAS5E5BF227001310,COIN,,,,,,,1.2,12,1.2,1,,,,,"EARLY MEDIEVAL",670,680,"EARLY MEDIEVAL",Middle,"EARLY MEDIEVAL",Middle,Anglo-Saxon,"An early medieval silver early penny / sceat of Primary Phase Series BX (BMC 26) dating c.670-80. Ref: Gannon 2013: 101, pl. 4 nos 67-8; Naismith 2017: 94.Obv Diademed bust; rev., VANTAMA or similar, Bird r.above cross on steps,annulets and pellets in field.&nbsp;",,,"Series BX is likely the earliest coin in the Primary Phase series of sceattas, pre-dating Series A and other types within Series B.&nbsp;",,3,"Anonymous (early penny/sceatta)",,Sceat,,,"Early Anglo-Saxon silver coin (sceatta)","Series BX (Type 26) (N 124)",,,,"draped bust r. with row of annulets within drapery. Double-row diadem with large pellet at end. Head within beaded inner circle broken by drapery. Little of the inscription is visible, mostly off the flan.","Greek cross on steps, bird above, facing r. Annulet above each cross arm, small pellet below. Within beaded penannular circle broken by steps.","o[ ]","oVANTAmA (or similar, partly off flan)",,,,2016-02-26T00:00:00Z,,,Kent,Dover,"Restricted access",Staple,,"Restricted access",,,,,,"Returned to finder",,1094698,images/trice62/,14207b.JPG,"Restricted info","Metal detector","tony trice",PUBLIC,2020-03-01T17:34:31Z,2020-03-30T14:30:38Z
