id,uri,old_findID,secuid,objecttype,objectCertainty,classification,subClassification,length,height,width,thickness,diameter,weight,quantity,otherRef,smrRef,musaccno,TID,broadperiod,fromdate,todate,periodFromName,subperiodFrom,periodToName,subperiodTo,cultureName,description,note,reasonTerm,notes,inscription,workflow,rulerName,mintName,denominationName,tribeName,reeceID,categoryTerm,typeTerm,geography,axis,moneyerName,obverseDescription,reverseDescription,obverseLegend,reverseLegend,mintmark,cciNumber,reverseType,datefound1,datefound2,regionName,county,district,parish,knownas,gridref,fourFigure,easting,northing,latitude,longitude,gridSource,subsequentActionTerm,currentLocation,thumbnail,imagedir,filename,finder,discoveryMethod,creator,institution,created,updated
996295,https://finds.org.uk/database/artefacts/record/id/996295,LVPL-0C6F54,PAS5E60C6F5001496,COIN,,,,,,,4,31,21.4,1,,,,,"GREEK AND ROMAN PROVINCIAL",117,138,"GREEK AND ROMAN PROVINCIAL",,"GREEK AND ROMAN PROVINCIAL",,,"A copper-alloy Roman provincial coin, probably a tetradrachm (or similar) of Hadrian (AD 117-138) or possibly Trajan (AD 98-117), dating to the period c.AD 117-138 (Reece period 6). Reverse type depicting Zeus standing left holding vertical sceptre, an&nbsp;eagle at his feet left(?). Mint of Alexandria. This is a large Roman provincial bronze coin struck at the mint of Alexandria. It&#39;s patina, combined with its findspot in a garden several years ago, suggest it is quite possible this is not an ancient loss.&nbsp;",,,"In the possession of South Trafford Archaeology Group and was found whilst gardening",,3,Hadrian,"Alexandria (Egypt)",Tetradrachm,,,,,,,,"Laureate and draped bust right","Zeus standing left holding vertical sceptre, an?eagle at his feet left(?)",Illegible,Illegible,,,,,,,"Cheshire East","Cheshire East","Restricted access",Mere,,"Restricted access",,,,,,"Returned to finder",,1095537,images/heatherbeeton/,HadrianCopy.jpg,"Restricted info",Gardening,"Heather Beeton",LVPL,2020-03-05T09:31:33Z,2020-03-09T11:33:35Z
965319,https://finds.org.uk/database/artefacts/record/id/965319,IOW-443238,PAS5D444323001890,COIN,,,,21,,17.9,,,4.48,1,IOW2019-7-269,,,,"GREEK AND ROMAN PROVINCIAL",193,211,"GREEK AND ROMAN PROVINCIAL",Early,"GREEK AND ROMAN PROVINCIAL",Late,,"IOW2019-7-269. A complete and worn Roman provincial copper-alloy coin of Septimius Severus (AD 193-211) struck in Edessa (Mesopotamia) during the reign of Abgar VIII (AD 177-212), dating to the period c. AD 193-211 (Reece period 10). [??????? ?] reverse type depicting draped bust of Abgar (bearded) right wearing diademed tiara with crest of hook-shaped ornaments, to right a sceptre. Mint of Edessa (Mesopotamia).Obverse: ????(sic)-[???????C?]; Laureate head of Septimius Severus right.Reverse: [??????? ?]; Draped bust of Abgar (bearded) right wearing diademed tiara with crest of hook-shaped ornaments, to right a sceptre.Length: 21.0mm; width: 17.9mm. Weight: 4.48g. DA=12:7.Cf. RPC (online) IV.3, temporary no.8971 (https://rpc.ashmus.ox.ac.uk/coins/4/8971 ).",1,,"Abghar was a client King of the Roman Empire.",,3,"Septimius Severus",Uncertain,"Uncertain (copper alloy)",,,,,,7,,"Laureate head of Septimius Severus right","Draped bust of Abgar (bearded) right wearing diademed tiara with crest of hook-shaped ornaments, to right a sceptre",????(sic)-[???????C?],"[??????? ??]",,,,2019-07-28T00:00:00Z,2019-07-28T00:00:00Z,,"Isle of Wight","Isle of Wight","Restricted access","Isle of Wight",,"Restricted access",,,,,,"Returned to finder",Finder,1067642,images/fbasford/,IOW20197269.jpg,"Restricted info","Metal detector","Frank Basford",IOW,2019-08-02T15:05:23Z,2019-08-06T13:00:18Z
945209,https://finds.org.uk/database/artefacts/record/id/945209,SUR-1FB22D,PAS5C91FB22001DC3,COIN,,,,,,,4.1,17,5.18,1,,,,,"GREEK AND ROMAN PROVINCIAL",-350,-300,"GREEK AND ROMAN PROVINCIAL",,"GREEK AND ROMAN PROVINCIAL",,,"A cast copper-alloy coin of the Greek city of Massalia (modern Marseilles), dating to c. 350 - 300BC.Obv. Head of Apollo leftRev. (MA); Bull butting rightSNG Copenhagen 43, pl XXXVI, cf. no. 738",,,,,3,,Masslia,"Uncertain (copper alloy)",Cantii,,,,"South Eastern,British",7,,"Head of Apollo left.","Butting bull right, MA above.",,MA,,,,,,,Oxfordshire,"South Oxfordshire","Restricted access",,,"Restricted access",,,,,,"Returned to finder",,1050209,images/smaslin/,SUR1FB22D.jpg,"Restricted info","Metal detector","Simon Maslin",SUR,2019-03-20T08:34:42Z,2019-08-28T12:31:34Z
937861,https://finds.org.uk/database/artefacts/record/id/937861,LANCUM-49682A,PAS5C549682001A68,COIN,,,,,,,2.42,22.59,6.56,1,N5215,,,,"GREEK AND ROMAN PROVINCIAL",40,90,"GREEK AND ROMAN PROVINCIAL",,"GREEK AND ROMAN PROVINCIAL",,,"A copper-alloy Indo-Greek tetradrachm of the Kushan ruler Kujula Kadphises, struck in the Hindu Kush, dating to the period c.AD 40-90. Obverse: [BA?I?E?? ?THP]O??V [EP]MAIOV, Diademed bust right with psuedo-Hermaeus legend. Reverse: Karoshti legend (Kujula Kasasa Kushana Yavugasa Dhramathidasa), Hercules standing facing holding club and lion skin. The coin is 22.59mm in diameter, 2.42mm in thickness and weighs 6.56g.As Mitchiner, 1978: p. 389, no. 2844.Examples of Indo-Greek coins have been recorded through the PAS. Some of these may well be genuine ancient losses, however others are likely to be more recent antiquarian losses. The findspot for the current example suggests it is most plausibly a more recent rather than genuinely ancient British loss.",,,Indo-,,3,"Kujula Kadphises",,Tetradrachm,,,,,,,,"Diademed bust right with psuedo-Hermaeus legend","Hercules standing facing holding club and lion skin","[BA?I?E?? ?THP]O??V [EP]MAIOV","Karoshti legend (Kujula Kasasa Kushana Yavugasa Dhramathidasa)",,,,,,,Lancashire,Wyre,"Restricted access",,,"Restricted access",,,,,,"Returned to finder",,1044343,images/lydiaprosser/,LANCUM49682A.jpg,"Restricted info","Metal detector","Lydia Prosser",LANCUM,2019-02-01T18:57:06Z,2019-02-07T10:38:56Z
925830,https://finds.org.uk/database/artefacts/record/id/925830,SWYOR-970D68,PAS5BE970D600181B,COIN,,,,,,,2.7,17.3,3.4,1,"PAS form number 3206",,,,"GREEK AND ROMAN PROVINCIAL",249,251,"GREEK AND ROMAN PROVINCIAL",,"GREEK AND ROMAN PROVINCIAL",,,"A copper-alloy Roman provincial bronze coin of Tityassus (Pisidia), possibly of Trajan Decius (AD 249-251), dating to the period c.AD 249-251 (Reece period 12). [...]CC[...] reverse type depicting a Temple with four columns. Cf. RPC IX (online edition) no. 963 (http://rpc.ashmus.ox.ac.uk/coins/9/963/). This coin has an extremely corroded flan and is underweight compared to the RPC examples. Its patina and findspot suggest it is a genuine ancient loss, although a more recent loss cannot be ruled out entirely.The coin is 17.3mm diameter, 2.7mm thick and 3.4g.",,,,,3,"Trajan Decius",Pamphylia,"Uncertain (copper alloy)",,,,,,,,"Unclear laureate and draped bust right","Temple with four columns","[?? ???? ? ?? ??? ?????? ??]",[?????]??[???],,,,2018-02-01T00:00:00Z,2018-02-28T00:00:00Z,,York,York,"Restricted access",,,"Restricted access",,,,,,"Returned to finder",,1034010,images/acooper/,PAS3206IC.jpg,"Restricted info","Metal detector","Amy Downes",SWYOR,2018-11-12T12:23:50Z,2018-11-19T15:01:59Z
923372,https://finds.org.uk/database/artefacts/record/id/923372,PUBLIC-1872B3,PAS5BD1872B001309,COIN,,,,,,,,20.3,3,1,MD235,,,,"GREEK AND ROMAN PROVINCIAL",222,235,"GREEK AND ROMAN PROVINCIAL",,"GREEK AND ROMAN PROVINCIAL",,,"Copper alloy Roman provincial coin (AE 21) of Severus Alexander (AD 221-35), struck at Nicaea in Bithynia, and dating to AD 222- 235 (Reece Period 11). BMC Greek, Pontus etc. (1889), p. 168, cf. no. 100.Obverse: M AVP CEVH A?EZAN?POC AV? or similar; laureate, draped and cuirassed bust right.Reverse: NI-K-A-IE-?N between masts of 3 standards",1,,,,3,"Severus Alexander","Nicaea, Bithynia",Unit,,11,,,,6,,"Laureate, draped and cuirassed bust right, seen from behind","NI-KA-IE-?N between the masts of three standards.","M AVP CEVH A?EZAN?POC AV? or similar",NI-KA-IE-?N,,,,2018-06-15T00:00:00Z,,,"West Berkshire","West Berkshire","Restricted access",,,"Restricted access",,,,,,"In a private collection, recorded for academic use","with finder",1031981,images/Linz/,MD235.jpg,"Restricted info","Metal detector","Lindsey Bedford",PUBLIC,2018-10-25T10:04:43Z,2018-11-26T15:05:22Z
922867,https://finds.org.uk/database/artefacts/record/id/922867,WREX-DD6469,PAS5BCDD6460019E2,COIN,,,,,,,,16,1.8,1,"Email enquiry to North Wales FLO",,,,"GREEK AND ROMAN PROVINCIAL",-160,-145,"GREEK AND ROMAN PROVINCIAL",,"GREEK AND ROMAN PROVINCIAL",,,"A silver Indo-Greek drachm of Menander (c.160-145 BC) of the Kabul/Gandhara region (the modern border region of Afghanistan and Pakistan). Obverse: BA?I?E?? ??THPO? MENAN?POY ('Saviour King Menander'), diademed and draped bust right. Reverse: Karosthi inscription (maharajasa tratarasa / heramayasa: 'Saviour King Menander'), Athena Alkidemos standing left, holding horizontal shield on outstretched left arm, hurling thunderbolt with right hand, monogram in right field. As Mitchiner, 1978: nos. 1768-1772; Bopearachchi series 13 (O. Bopearachchi, Monnaies gr?co-bactriennes et indo-grecques, Catalogue raisonn?, Biblioth?que Nationale, Paris, 1991).Diameter: 16mm; weight: 1.8g",,,"With thanks to Robert Bracey (British Museum) for this identification.Indo-",,3,Menander,Bactria,Didrachm,,,,,,,,"Diademed and draped bust right","Athena Alkidemos standing left, holding horizontal shield on outstretched left arm, hurling thunderbolt with right hand, monogram in right field.","BA?I?E?? ??THPO? MENAN?POY","Karosthi inscription (maharajasa tratarasa / heramayasa: 'Saviour King Menander')",,,,2018-09-10T00:00:00Z,2018-09-19T00:00:00Z,,Denbighshire,Denbighshire,"Restricted access",Llanarmon-yn-lal,,"Restricted access",,,,,,"Returned to finder",,1031596,images/susiewhite/,WREXDD6469.jpg,"Restricted info","Metal detector","Susie White",WREX,2018-10-22T14:53:10Z,2019-01-16T10:45:00Z
912144,https://finds.org.uk/database/artefacts/record/id/912144,KENT-9A56A7,PAS5B59A56A001751,COIN,,,,,,,3.45,29.64,13.84,1,,,,,"GREEK AND ROMAN PROVINCIAL",180,192,"GREEK AND ROMAN PROVINCIAL",,"GREEK AND ROMAN PROVINCIAL",,,"A Roman provincial bronze coin of Commodus (AD 175-192), dating to the period AD 180-192 (Reece period 9). ???-????? reverse type depicting the turreted and draped bust of the Nymph Nicaea right. Mint of Nicaea (Bithynia, Turkey).This coin appears to be a genuine British find and is a new type for Commodus, unlisted in RPC IV for Nicaea (although cf. RPC IV Online no. 5648 for a similar type with laureate obverse bust) (V. Heuchert, pers. comm.). Increasing numbers of Roman Provincial coins are being recorded through the PAS, many of which appear to be genuine ancient losses, although some may have found their way to Britain during the course of the last few centuries.Measurements: 29.64mm in diameter, 3.45mm thick and 13.84g in weight.",1,,"With thanks to Volker Heuchert, Herbeden Coin Room, Oxford, for his assistance in the identification of this coin.",,3,Commodus,"Nicaea, Bithynia","Uncertain (copper alloy)",,9,,,,7,,"Radiate and draped bust right.","Turreted and draped bust of the Nymph Nicaea right","AY M AY KOMO-AN[T?NI]NOC",???-?????,,,,,,,Medway,Medway,"Restricted access",,,"Restricted access",,,,,,"Returned to finder",,1021749,images/ucljo/,KENT9A56A7.jpg,"Restricted info","Metal detector","Walter (Jo) Ahmet",KENT,2018-07-26T11:41:46Z,2019-11-04T11:45:48Z
911838,https://finds.org.uk/database/artefacts/record/id/911838,SF-72D235,PAS5B572D23001571,COIN,,,,,,,,29.44,13.14,1,,,,,"GREEK AND ROMAN PROVINCIAL",-200,-50,"GREEK AND ROMAN PROVINCIAL",,"GREEK AND ROMAN PROVINCIAL",,,"A corroded copper-alloy Greek coin, probably the core of plated contemporary copy of an Athenian tetradrachm, possibly dating to the c.2nd-1st centuries BC. Obverse: [...], Helmeted bust of Athena right. Reverse: A[...], an Owl standing right on an amphora, unclear motifs to the right, all within an olive wreath. This is probably a contemporary irregular copy and shoudl originally have been a silver denomination, presumably now missing its silver plating. The preservation of the coin indicates it has been in the ground for some time and, although a more modern deposition date in Britain cannot be ruled out entirely, this suggests it may well be a genuine ancient loss.",1,,,,3,,Athens,Tetradrachm,,,,,,,,"Helmeted bust of Athena right","Owl standing right on an amphora, unclear motifs to the right, all within an olive wreath",,A[...],,,,2018-07-24T00:00:00Z,,,Suffolk,"Mid Suffolk","Restricted access",Debenham,,"Restricted access",,,,,,"Returned to finder",,1035227,images/alexbliss/,DBNSF72D235.jpg,"Restricted info","Metal detector","Alexander Bliss",SF,2018-07-24T14:44:03Z,2018-11-23T09:14:51Z
908123,https://finds.org.uk/database/artefacts/record/id/908123,HAMP-507702,PAS5B3507700011C9,COIN,,,,,,,4.6,31.2,19.93,1,"Hampshire Cultural Trust Object Entry Form WINCM 664",,,,"GREEK AND ROMAN PROVINCIAL",-180,-170,"GREEK AND ROMAN PROVINCIAL",,"GREEK AND ROMAN PROVINCIAL",,,"A copper-alloy hemidrachm of Ptolemy VI Philometor, first sole reign, dating to the period c.180-170 BC. Obverse depicting the diademed head of Zeus-Ammon right. [???]?EMAI??-BA?I?E[??] reverse type depicting an Eagle standing left on thunderbolt, sceptre across shoulder, lotus flower in left field. Cypriot mint. As Svoronos 1396; SNG Copenhagen 293.",1,,"This is a highly unusual find for Britain, although similar examples have been recorded through the PAS, eg. KENT-298BBB and FAKL-EB9B86.",,3,"Ptolemy VI",Cyprus,Hemidrachm,,,,,,12,,"Diademed head of Zeus-Ammon right","Eagle standing left on thunderbolt, sceptre across shoulder, lotus flower in left field.",,[???]?EMAI??-BA?I?E[??],,,,,,,Hampshire,"East Hampshire","Restricted access",Horndean,,"Restricted access",,,,,,"Returned to finder",,1018663,images/khindshamp/,HAMP507702.jpg,"Restricted info","Metal detector","Katie Hinds",HAMP,2018-06-28T17:06:08Z,2018-07-03T12:32:24Z
