id,uri,old_findID,secuid,objecttype,objectCertainty,classification,subClassification,length,height,width,thickness,diameter,weight,quantity,otherRef,smrRef,musaccno,TID,broadperiod,fromdate,todate,periodFromName,subperiodFrom,periodToName,subperiodTo,cultureName,description,note,reasonTerm,notes,inscription,workflow,rulerName,mintName,denominationName,tribeName,reeceID,categoryTerm,typeTerm,geography,axis,moneyerName,obverseDescription,reverseDescription,obverseLegend,reverseLegend,mintmark,cciNumber,reverseType,datefound1,datefound2,regionName,county,district,parish,knownas,gridref,fourFigure,easting,northing,latitude,longitude,gridSource,subsequentActionTerm,currentLocation,thumbnail,imagedir,filename,finder,discoveryMethod,creator,institution,created,updated
1006021,https://finds.org.uk/database/artefacts/record/id/1006021,WMID-1C4525,PAS5EF1C45200159E,COIN,,,,,,9.4,0.7,18.6,0.6,1,27,,,,MEDIEVAL,1205,1230,MEDIEVAL,,MEDIEVAL,,,"A complete cut half penny of William I of Scotland (AD 1165 to AD 1214). Short cross and stars coinage issue, Phase B, probably Bust 1, dating to c.1205-c.1230. Minted by Hve Walter at Edinburgh, Roxburgh or Perth. Ref Spink, 2015, pg 14Diameter: 18.6 mmWidth: 9.4 mmThickness: 0.7 mmWeight: 0.6 g",,,,,3,"William I of Scotland",,"Cut halfpenny",,,,"Scottish: William I, Short Cross and Stars coinage Phase B (S 5029 - 5033))",,3,,"Head left with sceptre","short cross with stars in each quarter",[]M+,+H[VEWA]LTO,unclear,,,,,,Staffordshire,Lichfield,"Restricted access",,,"Restricted access",,,,,,"Returned to finder",,1107868,images/tgilmore/,WMID1C4525.jpg,"Restricted info","Metal detector","Teresa Gilmore",WMID,2020-06-23T09:58:58Z,2020-06-23T14:30:09Z
1004373,https://finds.org.uk/database/artefacts/record/id/1004373,SUR-50E7B3,PAS5ED50E7B001380,COIN,,,,16.75,,7.87,0.75,,0.48,1,,,,,MEDIEVAL,1154,1158,MEDIEVAL,,MEDIEVAL,,,"A cut and clipped silver Medieval penny of Stephen (1135-1154), Awbridge type (North 881; BMC vii), dating to c.1154-1158, mint and moneyer uncertain, possibly London (see notes below). Ref: North 1994: 203.&nbsp;Obverse: +S[TIEFNE], bearded bust three quarters left, crowned with sceptre in right hand.Reverse: voided cross within quatrefoil with fleur in each quarter, [...]VN[...].",,,"Only a small portion of the reverse inscription survives, [ ]VN[ ], with a small part of a letter after the N also visible although this is not fully identifiable. It may be a &#39;D&#39;, possibly followed by &#39;:&#39; although this is based on little evidence. In Mack&#39;s (1966) corpus the VN may relate to a mint or moneyer. Mint: M110 (Hedon, hEDVN), M112 (Huntingdon, hVN), M117 (London, LVN, LVND, LVNDE) and Taunton ([ ]ANTVN); moneyer: M115 (Lewes, hVNFREI), M122 Salisbury (STANVNG). London would be the most common, and if the reading is [ ]VND: it would suggest London is the mint listed on this coin.&nbsp;",,3,"Stephen of England",London,"Cut halfpenny",,,"Coin of Norman and Early Plantagenet England 1066-1180","Stephen BMC vii (N 881; Awbridge)",,,,"Bearded bust three quarters left, crowned with sceptre in right hand.","Voided cross within quatrefoil with fleur in each quarter.",+S[TIEFNE],[...]VN[...],,,,,,,Surrey,"Mole Valley","Restricted access",,,"Restricted access",,,,,,"Returned to finder",,1105810,images/smaslin/,SUR50E7B3.jpg,"Restricted info","Metal detector","Simon Maslin",SUR,2020-06-01T15:19:39Z,2020-06-01T17:10:20Z
1003151,https://finds.org.uk/database/artefacts/record/id/1003151,YORYM-AB6BF2,PAS5EBAB6BF001293,COIN,,,,,,,,17.9,1.1,1,"YMT : E06515",,,,MEDIEVAL,1357,1367,MEDIEVAL,,MEDIEVAL,,,"A silver medieval Scottish penny of David II (1329-71) dating to the period AD 1357/8 - 1367. Second coinage, Group A (Spink 5114) . Long cross reverse with mullets in angles. Mint of Edinburgh. Ref. Spink 2015, pg 27.",,,"It is probable that groups A, B and C date to the period 1357/8-c.1364 as the Florentine moneyer Bonagius left the Durham mint in England and began working at the Scottish mint in c.1364. He was probably responsible for the heavy coins of David with the Robert II head (Group D). He was certainly responsible for the light coinage of David and the coinage of Robert II and probably the first heavy issues of Robert III.",,3,"David II of Scotland","Edinburgh Castle",Penny,,,,"Scottish: David II second coinage penny (S 5114 -5122)",,9,,"Crowned bust left","Long cross with mullets in angles","DAVID REX SCOTORVM",VILL/A[...]/[...]BV/RGh,,,,,,,York,York,"Restricted access",,,"Restricted access",,,,,,"Returned to finder",,1103509,images/bmorris/,PS0876.jpg,"Restricted info","Metal detector","Rebecca Griffiths",YORYM,2020-05-12T15:46:23Z,2020-06-04T14:34:12Z
1002949,https://finds.org.uk/database/artefacts/record/id/1002949,LEIC-93DEDC,PAS5EB93DED001C40,COIN,,,,,,,,17,0.55,1,,,,,MEDIEVAL,1250,1280,MEDIEVAL,,MEDIEVAL,,,"A Medieval&nbsp;silver Scottish cut&nbsp;halfpenny&nbsp;of Alexander III of Scotland (AD&nbsp;1249-1286) dating to AD 1250 - 1280. First coinage, Type VII voided long cross and stars.&nbsp;Moneyer and mint unclear.Cf Spink no. 5042.Diameter: 17 mmWeight: 0.55 g",,,"Record created by images sent by the finder",,3,"Alexander III of Scotland",,"Cut halfpenny",,,,"Scottish: Alexander III Long cross and stars first coinage with voided cross (S 5042 - 5048)",,,,"Crowned bust facing right holding a sceptre","Voided longcross with a star in each quarter",illegible,D...,,,,,,,Rutland,Rutland,"Restricted access",,,"Restricted access",,,,,,"Returned to finder",,1103316,images/meggard1/,93DEDC.jpg,"Restricted info","Metal detector","Megan Gard",LEIC,2020-05-11T12:58:37Z,2020-06-04T14:34:58Z
1002399,https://finds.org.uk/database/artefacts/record/id/1002399,WMID-BF3C2F,PAS5EABF3C2001F70,COIN,,,,,,,0.8,18.4,1.3,1,,,,,MEDIEVAL,1205,1230,MEDIEVAL,,MEDIEVAL,,,"A Scottish silver penny of William I (AD (1165-1214) dating to the period&nbsp;AD&nbsp;1205 - 1230. Phase B coinage, bust III. Short cross reverse with stars in angles. Moneyer Walter and Hue . Mint of Edinburgh, Perth or Roxburgh. Spink (2015) p.14, no.5029.",,,"These coins were issued under William and posthumously in William&#39;s name under Alexander II. It was minted by the moneyers Hue and Walter who were the Edinburgh and Perth moneyers working jointly, the also minted at Roxburgh.&nbsp;",,3,"William I of Scotland","Edinburgh or Perth",Penny,,,,"Scottish: William I, Short Cross and Stars coinage Phase B (S 5029 - 5033))",,12,,"Crowned bust left","Short voided cross with six pointed star in each quarter","[LE REI] WILA[M]","hVE WALTER O",cross,,,,,,Staffordshire,Stafford,"Restricted access",,,"Restricted access",,,,,,"Returned to finder",,1105770,images/vallnatt/,WMIDBF3C2F.jpg,"Restricted info","Metal detector","Vic Allnatt",WMID,2020-05-01T11:02:42Z,2020-06-04T14:40:58Z
1001499,https://finds.org.uk/database/artefacts/record/id/1001499,GAT-032288,PAS5EA03228001802,COIN,,,,15.5,,9.5,,,0.6,1,,,,,MEDIEVAL,1205,1230,MEDIEVAL,,MEDIEVAL,,,"A Scottish medieval silver cut halfpenny of&nbsp; William I of Scotland (1165-1214)/Alexander II of Scotland (1214-49), Short Cross and Stars type (Phase B; Spink 5029), uncertain bust type, dating to c.1205-c.1230, moneyer: Hue and Walter, mint: Edinburgh or Perth. Ref Spink 2015, pg 14&nbsp;The coin has been cut in half and has been badly worn. On the obverse there are slight traces of the portrait and outer legend. The legend is no longer legible. On the reverse is a short cross with a star with five points in each of the remaining quadrants. The legend has been badly worn and is no longer legible.&nbsp;",,,"These coins were also issued posthumously in the name of William under Alexander II until c.1235 when issues were made in Alexander&#39;s own name. Minted by Hue and Walter the Edinburgh and Perth moneyers working jointly.Similar examples have been recorded on the PAS Database see; HAMP-22CBBB.",,3,"William I of Scotland",Unknown,"Cut halfpenny",,,,"Scottish: William I, Short Cross and Stars coinage Phase B (S 5029 - 5033))",,,,"Bust of King facing left holding sceptre","Voided short cross with a five pointed star in each of the remaining quarters","LE [REI...]","hV[E WALTER]",,,,,,,"Isle of Anglesey","Isle of Anglesey","Restricted access",Beaumaris,,"Restricted access",,,,,,"Returned to finder",,1100986,images/jadeowen95/,Scottishkingcoin.jpg,"Restricted info","Metal detector","Jade Owen",GAT,2020-04-22T13:01:44Z,2020-06-04T14:43:11Z
1001407,https://finds.org.uk/database/artefacts/record/id/1001407,GLO-ED8E2C,PAS5E9ED8E2001CD9,COIN,,,,18,,8,,,0.56,1,,,,,MEDIEVAL,1250,1280,MEDIEVAL,,MEDIEVAL,,,"A&nbsp;medieval silver Scottish cut halfpenny of Alexander III of Scotland (AD&nbsp;1249 - 1286), first coinage, long cross and stars, (Type III(c?); Spink 5043) dating to 1250-80, moneyer: probably Andrev, mint: Aberdeen or Roxburgh. Ref Spink, 2015, pg 17Obverse: crowned bust facing right with sceptre (only right side remains)Obverse inscription: ALEXAN[DER REX]Reverse: Long cross voided with a six-pointed star in each angleReverse inscription: [AN]/DR?/EV[...]",,,,,3,"Alexander III of Scotland",,"Cut halfpenny",,,,"Scottish: Alexander III Long cross and stars first coinage with voided cross (S 5042 - 5048)",,,,"crowned bust facing right with sceptre (only right side remains)","Long cross voided with a star in each angle","ALEXAN[DER REX]",[AN]/DR?/EV[...],,,,2019-01-01T00:00:00Z,2019-09-01T00:00:00Z,,"County of Herefordshire","County of Herefordshire","Restricted access",,,"Restricted access",,,,,,"Returned to finder",,1101438,images/kadams/,GLOED8E2C.JPG,"Restricted info","Metal detector","Kurt Adams",GLO,2020-04-21T12:28:34Z,2020-06-04T14:43:48Z
1000834,https://finds.org.uk/database/artefacts/record/id/1000834,WMID-5C0FB8,PAS5E95C0FB001850,COIN,,,,9.3,,7.8,0.8,,0.2,1,,,,,MEDIEVAL,1205,1230,MEDIEVAL,,MEDIEVAL,,,"An incomplete cut halfpenny, probably of William I of Scotland (AD 1165 to AD 1214), or Alexander II (AD 1214 to AD 1249). Short cross reverse type, probably belonging to Phase B. c. AD 1205 to AD 1230. C.f. Spink 5029-5038. Probably minted by Hue and Walter.Length: 9.3 mmWidth: 7.8 mmThickness: 0.8 mmWeight: 0.2 g",,,,,3,"William I of Scotland",,"Cut halfpenny",,,,"Scottish: William I, Short Cross and Stars coinage Phase B (S 5029 - 5033))",,,,Sceptre,"star in angle",?IL,"[ ]hVE[ ]",,,,2019-10-19T00:00:00Z,2019-10-19T00:00:00Z,,Norfolk,"North Norfolk","Restricted access",,,"Restricted access",,,,,,"Returned to finder",,1100070,images/tgilmore/,WMID5C0FB8.jpg,"Restricted info","Metal detector","Teresa Gilmore",WMID,2020-04-14T14:56:11Z,2020-06-04T14:44:32Z
1000594,https://finds.org.uk/database/artefacts/record/id/1000594,DENO-F05093,PAS5E8F050900138D,COIN,,,,,,,,19.5,,1,,,,,MEDIEVAL,1136,1145,MEDIEVAL,,MEDIEVAL,,,"A medieval silver cut halfpenny of David I of Scotland (1124-53) in the name of Stephen (1135-54), &#39;Watford type&#39; (Mack 277; North 874), mint: Carlisle, moneyer: Wilealme. Ref: Mack 1966: 98; North 1994: 203. See also Mattinson and Cherry 2013: 104-5 (Scottish coin group b).The coin was poorly struck on a slightly irregular flan.",1,,"David I of Scotland was the uncle of the Empress Matilda, Henry I&#39;s (1100-35) daughter and a claimant to the throne held by Stephen, over which the ensuing war generally known as &#39;The Anarchy&#39; was fought. David I invaded England in 1136&nbsp;capturing Northumberland and Cumberland, and retained Carlisle in a subsequent peace treaty with Stephen. It is most likely that the coins of &#39;Watford type&#39; (without an inner circle on the obverse) struck in Stephen&#39;s name were produced under David&#39;s rule. See Mack 1966: 98-9; Mattinson and Cherry 2013.&nbsp;This coin appears to be the first of its type recorded by the&nbsp;PAS.The photographs used in this record were kindly provided by the finder.&nbsp;With thanks to Carl Savage for help with the identification of the coin in this record.",,3,"Stephen of England",Carlisle,"Cut halfpenny",,,"Coin of Norman and Early Plantagenet England 1066-1180","Stephen BMC i var. no inner circle (N 874)",,11,,"Crowned bust facing right, sceptre in front. No inner circles.","Cross moline with fleur in each angle","[ ]E[ ]NI[ ]","+WI[ ]RD",,,,2020-03-21T00:00:00Z,,,Nottinghamshire,"Newark and Sherwood","Restricted access",,,"Restricted access",,,,,,"Returned to finder",,1099744,images/mariakneafsey/,DENOF05093.jpg,"Restricted info","Metal detector","Maria Kneafsey",DENO,2020-04-09T12:20:41Z,2020-04-09T15:27:31Z
999829,https://finds.org.uk/database/artefacts/record/id/999829,GLO-4B5A24,PAS5E84B5A2001492,COIN,,,,18,,9,,,0.61,1,,,,,MEDIEVAL,1205,1230,MEDIEVAL,,MEDIEVAL,,,"A silver Scottish cut half penny of William I &quot;The Lion&quot; (AD 1165 - 1214), short cross and stars, Phase B (Spink 5029), bust III, dating to c.1205 to 1230, moneyer: Hue and Walter, mint: Edinburgh, Perth or Roxburgh. Ref. Spink, 2015 pg 14 Obverse: bust facing left, sceptre in front L- [AM] Reverse: short cross and a five pointed star in each angle [..]E WAL[T..]",,,"These coins were also issued posthumously in the name of William under Alexander II until c.1235 when coins were issued in Alexander&#39;s own name. Minted by Hue and Walter, the Edinburgh and Perth moneyers working together jointly.&nbsp;",,3,"William I of Scotland",,"Cut halfpenny",,,,"Scottish: William I, Short Cross and Stars coinage Phase B (S 5029 - 5033))",,,,"bust facing left, sceptre in front","short cross and a six pointed star in each angle","L- [AM]","[..]E WAL[...]",,,,2019-12-02T00:00:00Z,2020-02-02T00:00:00Z,,Gloucestershire,Tewkesbury,"Restricted access",,,"Restricted access",,,,,,"Returned to finder",,1099420,images/kadams/,GLO4B5A24.JPG,"Restricted info","Metal detector","Kurt Adams",GLO,2020-04-01T16:39:14Z,2020-06-04T14:46:06Z
