id,uri,old_findID,secuid,objecttype,objectCertainty,classification,subClassification,length,height,width,thickness,diameter,weight,quantity,otherRef,smrRef,musaccno,TID,broadperiod,fromdate,todate,periodFromName,subperiodFrom,periodToName,subperiodTo,cultureName,description,note,reasonTerm,notes,inscription,workflow,rulerName,mintName,denominationName,tribeName,reeceID,categoryTerm,typeTerm,geography,axis,moneyerName,obverseDescription,reverseDescription,obverseLegend,reverseLegend,mintmark,cciNumber,reverseType,datefound1,datefound2,regionName,county,district,parish,knownas,gridref,fourFigure,easting,northing,latitude,longitude,gridSource,subsequentActionTerm,currentLocation,thumbnail,imagedir,filename,finder,discoveryMethod,creator,institution,created,updated
1006309,https://finds.org.uk/database/artefacts/record/id/1006309,HAMP-5AC459,PAS5EF5AC450019E8,COIN,,,,,,,0.3,16.8,0.6,1,"Winchester Collections AY 568",,"WINCM: AY 568.2481",,"POST MEDIEVAL",1601,1604,"POST MEDIEVAL",,"POST MEDIEVAL",,,"An extremely worn silver Scottish eighth thistle merk of James VI of Scotland (later James I of England) dating to 1601-1604. Obverse: crowned shield. Reverse crowned thistle. Cf Spink 5500.",,,,,3,"James VI of Scotland","Edinburgh Castle","Eighth thistle-merk",,,,"Scottish: Eighth thistle Merk of James VI, Silver, Eighth coinage (S 5500)",,9,,"Crowned royal shield.","Crowned Thistle.","[IACOBVS 6 D G R SCOTORV]M","[REGE]M.IO[VA PROTEGIT 160...]",,,,1993-02-10T00:00:00Z,,,Hampshire,Winchester,"Restricted access",,,"Restricted access",,,,,,"Returned to finder","Hampshire Cultural Trust (Winchester Collections)",1108227,images/smaslinhct/,HAMP5AC459.jpg,"Restricted info","Metal detector","Simon Maslin",HAMP,2020-06-26T09:05:25Z,2020-06-26T16:24:14Z
1004159,https://finds.org.uk/database/artefacts/record/id/1004159,LANCUM-FB98D6,PAS5ECFB98D00165B,COIN,,,,,,,,23,1.58,1,315,,,,"POST MEDIEVAL",1554,1558,"POST MEDIEVAL",,"POST MEDIEVAL",,,"Post Medieval hammered silver groat of Philip and Mary. The initial mark is a lis.Dates from 1554 to 1558 AD.Diameter 23mm and weight 1.58g.Obverse inscription PHILIP.Z MARIA.DG.REX Z REGINAReverse inscription POSVI MVS DEVM ADIVTO&nbsp;NOSThere coin has some damage and is incomplete.",,,,,3,"Philip of Spain and Mary Tudor",,"Groat (silver)",,,"English coin early Modern 1489 - 1660","Groat: Philip and Mary, 1554-1558 (N 1973)",,,,,,"PHILIP.Z MARIA.DG.REX Z REGINA","POSVI MVS DEVM ADIVTO NOS",,,,2020-05-26T00:00:00Z,2020-05-26T00:00:00Z,,Cumbria,Allerdale,"Restricted access","near Cockermouth",,"Restricted access",,,,,,"Returned to finder",,1105752,images/AlexIdris/,LANCUMFB98D6.jpg,"Restricted info","Metal detector","Alex Whitlock",LANCUM,2020-05-28T14:15:57Z,2020-06-29T16:38:08Z
1002380,https://finds.org.uk/database/artefacts/record/id/1002380,BUC-BE0629,PAS5EABE0620019E5,COIN,,,,,,,,,,1,"AYBCM 5163",,,,"POST MEDIEVAL",1620,1621,"POST MEDIEVAL",,"POST MEDIEVAL",,,"A Post-Medieval gold quarter-laurel of James I (AD.1603-1625), dating to AD.1620-1621.&nbsp; Third coinage; rose initial mark; 2nd bust.&nbsp; &nbsp;Tower Mint. North (1991:147), no.2118.",1,,,,3,"James I of England","The Tower of London",Quarter-laurel,,,"English coin early Modern 1489 - 1660","Quarter-laurel: James I, 1604-1619 (N 2118 - 2119)",,12,,"Laureated bust in armour left, with V behind head.","Long cross fleury over crowned square shield.","IACOBVS D G MAG BRI FRA ET HIB REX","HENRICVS ROSAS REGINA IACOVS",,,,,,,Oxfordshire,"Vale of White Horse","Restricted access",,,"Restricted access",,,,,,"Returned to finder",,1102267,images/sashacobby/,ABCYM5163pas.jpg,"Restricted info","Metal detector","Sasha Cobby",BUC,2020-05-01T09:40:02Z,2020-05-01T15:39:23Z
998788,https://finds.org.uk/database/artefacts/record/id/998788,PUBLIC-4ECF9A,PAS5E74ECF9001A48,COIN,,,,,,,,14,0.6,1,,,,,"POST MEDIEVAL",1560,1561,"POST MEDIEVAL",,"POST MEDIEVAL",,,"A post-medieval silver penny of Elizabeth I (1558-1603), mint: London, initial mark: cross crosslet (1560-1; Norrth 1988). Ref: North 1991: 133.&nbsp;The coins appears to be slightly clipped.",,,,,3,"Elizabeth I of England",,Penny,,,"English coin early Modern 1489 - 1660","Penny: Elizabeth I, 1558-1561 (N 1988)",,4,,"Bust of Elizabeth I facing left","Shield divided into four quadrants by a long cross fourche","[E D] G.ROSA.SINE.SPINA",/CIVI/TAS/LON/DON,,,,2015-01-20T00:00:00Z,,,Shropshire,Shropshire,"Restricted access",POYNTON,,"Restricted access",,,,,,"Returned to finder",,1097147,images/marctelford/,IMG_20200319_112304.jpg,"Restricted info","Metal detector","Marc Porter",PUBLIC,2020-03-20T16:19:05Z,2020-03-23T10:42:50Z
991118,https://finds.org.uk/database/artefacts/record/id/991118,DYFED-4367DE,PAS5E34367D001F12,COIN,,,,,,,,23.76,3.2,1,,,,,"POST MEDIEVAL",,,"POST MEDIEVAL",,"POST MEDIEVAL",,,"Complete copper alloy &lsquo;Cinq Centimes&rsquo; coin of Napoleon III. The obverse of the coin features the bust of Napoleon III facing west with the word &lsquo;BARRE&rsquo; under his neck (referring to the engraver Jean-Jaques Barre) within a beaded border. This is surrounded by the legend &lsquo;NAPOLEON III EMPEREUR 1857&rsquo;. The reverse of the coin features an eagle facing east with mint letter (K) below (meaning it was minted in Bordeaux) again within a beaded border. Legend around the circumference reads &lsquo;EMPIRE FRANCAIS, CINQ CENTIMES&rsquo;. The coin has a dark grey patina with some green colouration, and the coin is quite worn. The coin weighs 3.2g and is 23.76mm in diameter.",,,,,3,,,,,,,,,,,,,,,,,,,,,Ceredigion,Ceredigion,"Restricted access",Ffos-y-ffin,,"Restricted access",,,,,,"Returned to finder",,1090300,images/jsmith/,NapoleonCoin.jpg,"Restricted info","Metal detector","Jenna Smith",DYFED,2020-01-31T14:15:25Z,2020-01-31T14:47:44Z
984913,https://finds.org.uk/database/artefacts/record/id/984913,HESH-105FC1,PAS5DF105FC0010BA,COIN,,,,32.2,,33.2,2,,14.22,1,"Shropshire Museum Service, Object Entry Form: E.01949",,,,"POST MEDIEVAL",1642,1643,"POST MEDIEVAL",,"POST MEDIEVAL",,,"A post-medieval&nbsp;silver half crown of Charles I (1625-1649) struck at the Truro Mint (Brooker&nbsp;collection 1016; North 2536), initial mark: Rose (1642-3). Ref: North 1991: 184; North and Preston-Morley (Brooker Collection) 1987; cf. Besly 1992: plate 10, E4.&nbsp;The coin is in very good condition and has the potential to be part of a larger group / hoard.Obverse: Small equstrian portrait of King holding sword sloping forward, relatively robust horse - kings head facing viewerCAROLVS D G [MA B]R FRA ET HI REXReverse: Oblong garnished shield dividing C R either sideCHRISTO AVSPICE REGNO",1,,,,3,"Charles I of England",Truro,"Half crown",,,"English coin early Modern 1489 - 1660","Civil War: Sir Richard Vyvyan's Mints, Truro and Exeter (N 2528-2583)",,8,,"Small equstrian portrait of King holding sword sloping forward, relatively robust horse - kings head facing viewer","Oblong garnished shield dividing C R either side","CAROLVS D G [MA B]R FRA ET HI REX","CHRISTO AVSPICE REGNO","Truro Rose",,,,,,Shropshire,Shropshire,"Restricted access",Shrewsbury,,"Restricted access",,,,,,"Returned to finder",,1088479,images/preavill/,HESH105FC1.jpg,"Restricted info","Metal detector","Peter Reavill",HESH,2019-12-11T15:06:36Z,2020-03-27T13:57:47Z
984777,https://finds.org.uk/database/artefacts/record/id/984777,BH-0B754F,PAS5DF0B754001F9F,COIN,,,,,,,,15.4,0.41,1,,,,,"POST MEDIEVAL",1583,1590,"POST MEDIEVAL",,"POST MEDIEVAL",,,"An incomplete, billion plack (eightpenny groat) of James VI (1567-1625), type 3 (Spink S5513), dating to AD 1583-1590, before accession to the English throne. Mint of Edinburgh. Ref: Spink, 2015, pg 83.",,,,,3,"James VI of Scotland",,,,,,"Scottish: Silver coin of James VI, not further defined",,6,,"Crowned shield, beaded inner circle.","Crowned thistle, beaded inner circle.",[...]COBVS[...],O[...],,,,2019-07-15T00:00:00Z,2019-07-15T00:00:00Z,,"Central Bedfordshire","Central Bedfordshire","Restricted access",,,"Restricted access",,,,,,"Returned to finder",,1088630,images/sashamarie/,BH0B754F.jpg,"Restricted info","Metal detector","Alexandra Cobby",BH,2019-12-11T09:31:00Z,2020-06-05T16:04:43Z
983783,https://finds.org.uk/database/artefacts/record/id/983783,BH-7A498C,PAS5DE7A498001C96,COIN,,,,,,,,21.9,2.16,1,,,,,"POST MEDIEVAL",1516,1558,"POST MEDIEVAL",,"POST MEDIEVAL",,,"A post-medieval gilded copper-alloy contemporary copy of a Joanna (Queen of Castile and Aragon) and Charles V (1506-16) gold escudo struck after the death of Joanna when Charles became Charles I of Spain (1516-1558). Although a copy, the coin appears to be based on the gold escudo from the mint at Seville (with an S to the right of the shield on the obverse) of a type minted in 1535 (Clemente and Cayon 3147-8). Ref: Clemente and Cayon 2005: 473-4.",,,,,3,"Joanna and Charles of Spain",,"escudo-double principat-double ducado",,,,"Spain: Gold escudo - double principat - double ducado of Joanna and Charles (Clemente and Cayon 3135-3163)",,12,,"Crowned Arms of Castile","Cross patt?e within a four-arched tressure, fleur on each cusp.","[...]O[...]A ET [...]AR[...]","HISPAN[...]GES : SI[...]",,,,2018-02-24T00:00:00Z,2018-02-24T00:00:00Z,,Hertfordshire,"North Hertfordshire","Restricted access",,,"Restricted access",,,,,,"Returned to finder",,1084465,images/sashamarie/,BH7A98C.jpg,"Restricted info","Metal detector","Alexandra Cobby",BH,2019-12-04T12:20:40Z,2019-12-13T14:10:31Z
982864,https://finds.org.uk/database/artefacts/record/id/982864,IOW-FF46D8,PAS5DDFF46D001840,COIN,,,,,,,,24.8,1.81,1,IOW2019-1-281,,,,"POST MEDIEVAL",1599,1599,"POST MEDIEVAL",Early,"POST MEDIEVAL",Early,,"A complete but broken post-medieval silver coin of the United Provinces of the Netherlands, half helmet shilling / 3-Stuivers (halve gehelmde schelling) of the Province of Friesland (Purmer Fr65), dated 1599. Ref: Purmer 2009: 203.The coin is worn and in two pieces with a portion of the coin - about 20% of the outer circle - detached along a curving line.Obverse: NISI.DOMIN[V]S / NOBI[SCVM.15]99 ('unless the Lord is with us'); Provincial coat of arms with crowned helmet.Reverse: MONE.NOV[A.O]RDI.[FR]ISI; Provincial coat of arms on decorative cross fleuretty.Diameter: 24.8mm. Weight: 1.81g. DA=12:9.",1,,"With thanks to Mr Jo Ahmet for his help in the identification of this coin.",,3,"Republic of the United Netherlands",Friesland,"3  stuivers",,,,"Republic of the United Netherlands: silver coin",,9,,"Provincial coat of arms with crowned helmet","Provincial coat of arms on decorative cross fleuretty","NISI.DOMIN[V]S / NOBI[SCVM.15]99",MONE.NOV[A.O]RDI.[FR]ISI,,,,2018-01-01T00:00:00Z,2018-12-31T00:00:00Z,,"Isle of Wight","Isle of Wight","Restricted access","Isle of Wight",,"Restricted access",,,,,,"Returned to finder",Finder,1083487,images/fbasford/,IOW20191281a.jpg,"Restricted info","Metal detector","Frank Basford",IOW,2019-11-28T16:23:09Z,2019-12-05T12:36:48Z
980645,https://finds.org.uk/database/artefacts/record/id/980645,DYFED-EC65C7,PAS5DCEC65C00179D,COIN,,,,,,,,32.23,6.2,1,,,,,"POST MEDIEVAL",,,"POST MEDIEVAL",,"POST MEDIEVAL",,,"Object is a counterfeit of a Charles I Half Crown. The coin is complete but showing signs of corrosion and wear, and the corroded metal core can clearly be seen through the exterior silver plating (Evidence of a counterfeit coin).On the obverse of the coin only part of the legend can be seen 'HIB:REX' (The full legend being CAROLVS.D.G.MAG.BRIT.FRAN.ET.HIB.REX. meaning 'Charles by the Grace of God King of Great Britain, France and Ireland'). The image cannot be seen at all. On the reverse of the coin a four quartered shield topped with a crown is visible, along with part of the legend 'CE.RE' (The full legend being CHRISTO AUSPICE REGNO, meaning 'I reign under the auspices of Christ').The coin weighs 6.2g and has a diameter of 32.23mm.https://museum.wales/articles/2017-03-16/Counterfeit-Coins/",,,,,3,,,,,,,,,,,,,,,,,,,,,Pembrokeshire,Pembrokeshire,"Restricted access",Boulston,,"Restricted access",,,,,,"Returned to finder",,1081356,images/jsmith/,CharlesICounterfeit.jpg,"Restricted info","Metal detector","Jenna Smith",DYFED,2019-11-15T15:38:04Z,2019-11-15T15:40:21Z
